_id.year,_id.mode,_id.week,distance,co2
2022,2,41,49547.53885345325,0
2022,3,40,2990.6931857911345,619.8809766189285
2022,5,42,12337.487590417739,2718.0718910449323
2022,5,40,1241324.6569752537,273476.23517821816
2022,2,40,49524.50113237305,0
2022,6,40,777766.7772988421,77582.2360355595
2022,5,39,98513.0067538308,21703.400517936465
2022,1,41,14665.225421918909,0
2022,2,42,67746.88344756886,0
2022,5,41,59015.08393141261,13001.613140929514
2022,1,39,12429.548300629443,0
2022,1,40,15867.087091654976,0
2022,3,39,1491.2542435612709,309.09226706294464